date,求和项:low,求和项:volume
2001/8/27,5.205,406318
2001/8/28,5.484,129647.79
2001/8/29,5.72,53252.75
2001/8/30,5.704,48013.06
2001/8/31,5.831,23231.48
2001/9/3,5.839,22112.09
2001/9/4,5.844,37006.77
2001/9/5,5.896,26066.95
2001/9/6,5.785,28997.03
2001/9/7,5.649,31552.25
2001/9/10,5.547,18878.89
2001/9/11,5.736,11390.81
2001/9/12,5.593,25045.19
2001/9/13,5.657,10986.68
2001/9/14,5.672,7672.83
2001/9/17,5.625,8983.97
2001/9/18,5.68,10773.26
2001/9/19,5.714,8650.53
2001/9/20,5.783,11173.35
2001/9/21,5.704,7879.72
2001/9/24,5.704,4068.6
2001/9/25,5.712,3488.45
2001/9/26,0,4956.26
2001/9/27,0,8778.04
2001/9/28,0,17088.47
2001/10/8,5.744,6552.17
2001/10/9,5.799,9558.52
2001/10/10,5.709,17548.69
2001/10/11,5.649,12306.84
2001/10/12,5.395,20010.7
2001/10/15,5.53,9755.31
2001/10/16,5.506,8319.91
2001/10/17,0,12507.68
2001/10/18,0,4983.46
2001/10/19,0,15687.54
2001/10/22,0,9760.65
2001/10/23,0,40598.24
2001/10/24,0,40682.39
2001/10/25,0,16036.86
2001/10/26,5.454,9002.2
2001/10/29,5.527,4587.86
2001/10/30,5.533,3484.17
2001/10/31,5.514,4762.47
2001/11/1,5.538,6643.03
2001/11/2,5.571,3435.2
2001/11/5,5.498,3690.76
2001/11/6,5.501,2609.31
2001/11/7,5.356,9325.38
2001/11/8,5.226,7402.16
2001/11/9,5.283,3760.76
2001/11/12,5.311,2683.33
2001/11/13,5.262,2673.81
2001/11/14,5.33,769
2001/11/15,5.308,2193.45
2001/11/16,5.386,9954.7
2001/11/19,5.403,3734.61
2001/11/20,5.53,8069.08
2001/11/21,5.53,5114.42
2001/11/22,5.531,4198.79
2001/11/23,5.511,3960.9
2001/11/26,5.467,3100.99
2001/11/27,5.479,2569.48
2001/11/28,5.53,3773.62
2001/11/29,5.516,3046.18
2001/11/30,5.514,4070.97
2001/12/3,5.6,16037.05
2001/12/4,5.674,6894.99
2001/12/5,5.698,15028.35
2001/12/6,5.672,6372.22
2001/12/7,5.672,3908.2
2001/12/10,5.658,4161.56
2001/12/11,5.642,3580.02
2001/12/12,5.641,4632.67
2001/12/13,5.577,3540.45
2001/12/14,5.549,2841.25
2001/12/17,5.554,4413.89
2001/12/18,5.562,4821.2
2001/12/19,5.646,9620.01
2001/12/20,5.49,11362.23
2001/12/21,5.498,8135.04
2001/12/24,5.674,27250.79
2001/12/25,5.696,12182.6
2001/12/26,5.72,16809.52
2001/12/27,5.85,23284.78
2001/12/28,5.844,12279.32
2001/12/31,5.936,52195.41
2002/1/4,5.934,29109.62
2002/1/7,5.812,18942.95
2002/1/8,5.78,13286.64
2002/1/9,5.76,10606.82
2002/1/10,5.76,18815.55
2002/1/11,5.704,11834.75
2002/1/14,5.614,18718.51
